q_id,question,mean,median,sd
0,あなたの一番好きな食べ物は何ですか？,1.5333333333333334,1.0,0.7302967433402214
1,あなたの好きな飲み物は何ですか？,1.5666666666666667,1.0,0.6789105539243628
2,あなたは、兄弟が何人いますか？,2.5,2.0,1.4323840748664567
3,あなたは、旅行するならどこに行きたいですか？,2.0,2.0,0.982607368881035
4,あなたが好きな科目，または好きだった科目は何ですか？,2.3333333333333335,2.0,1.124441112772009
5,最近あった楽しかったできごとは何ですか？,2.6,3.0,0.9684683962230046
6,あなたが楽しみにしているイベントは何ですか？,2.466666666666667,3.0,0.8193072487266861
7,あなたの好きな映画やテレビ番組は何ですか？,1.8333333333333333,2.0,0.7914775938769181
8,あなたの趣味は何ですか？,2.066666666666667,2.0,0.6914918072835209
9,あなたの好きなスポーツは何ですか？,1.7,2.0,0.7022132498578064
10,あなたの好きな音楽は何ですか？,1.8666666666666667,2.0,0.6814453874610598
11,あなたが，最近夢中になっていることは何ですか？,2.4827586206896552,2.0,0.9863601796204502
13,あなたは，休日をどのように過ごしていますか？,2.6666666666666665,3.0,0.7580980435789034
14,あなたは，どのような服が好きですか？,2.2666666666666666,2.0,0.6396838299494921
15,あなたが、仕事や勉強をする上で、楽しいと感じることは何ですか？,3.033333333333333,3.0,0.99942512211403
16,あなたは，あなたと一緒に仕事や勉強をする人達へどのような印象を抱いていますか？,4.3,4.5,0.9153857298880941
17,あなたが選んだ仕事や学部学科について、どのくらい満足していますか？,3.9,4.0,0.6617635789938568
18,あなたにとって，理想的な外見や容姿はどのようなものですか？,4.666666666666667,4.0,1.1547005383792515
19,あなたは、自分の仕事ぶりや勉強への取り組みを他の人から褒められた時に、どのような気持ちになりますか？,3.8,4.0,1.3746472901853017
20,仕事や勉強について、あなたの目標は何ですか？,3.3333333333333335,3.0,1.2129568697262454
21,困難な状況を乗り越えるために，あなたが頑張ってきたことは何ですか？,4.3,4.5,1.0553639672872464
22,あなた自身について、なかなか直らないささいな欠点は何ですか？,5.5,6.0,0.9001915504970077
23,あなた自身について、少しダメだな、と前から思っているところは何ですか？,5.1,5.0,1.0618786215460558
24,自分は少しダメだなとおもった経験はどのようなものですか？,5.517241379310345,5.0,0.7377906040127226
25,あなたは，どのようなものに嫌悪感を抱きますか？,4.733333333333333,5.0,1.1724814044061256
26,ときどき落ち込んでしまうような、あなたのささいな欠点は何ですか？,5.3,5.0,0.8366600265340757
27,あなたの身長と体重はどのくらいですか？,5.7,6.0,1.0553639672872464
28,あなたは現在，健康上の問題を何か抱えていますか？,5.566666666666666,6.0,1.165105688067746
29,ささいな欠点について、あなたが日ごろ思い悩んでいることは何ですか？,5.413793103448276,6.0,1.0183053632422259
30,あなたは，自分の恋愛事情についてどう思っていますか？,5.214285714285714,5.5,1.2868895275370982
31,あなたのパーソナリティのなかで、好きではない部分や気になる部分は何ですか？,5.4,5.5,1.4527025943345069
32,自分の能力のなかで，劣等感を抱いているところは何ですか？,5.7,6.0,0.8769067893689609
33,あなたの性格について，すごく嫌いなところはどのような部分ですか？,5.896551724137931,6.0,0.9001915504970079
34,今までに気に病んだことがある，あなたの外見上の問題は何ですか？,6.0,6.0,1.0170952554312156
35,自分の能力についてひどく気に病んでいることは何ですか？,5.633333333333334,6.0,1.376736103561817
36,あなたが今、気に病んでいたり、心配しているようなことは何ですか？,5.857142857142857,6.0,0.890870806374748
38,これまでで最も罪悪感を抱いたこと、あるいは最も恥ずかしいと感じたことは何ですか？,6.233333333333333,6.0,0.8976341829703132
39,これまでに、あなたが罪や恥の感情を抱いた経験を教えてもらえますか？,5.966666666666667,6.0,1.1290317283753193
40,あなたの現在の収入源を全て教えてもらえますか？,6.7,7.0,0.8366600265340756
41,自分のせいで，人をひどく傷つけてしまった経験を教えてもらえますか？,6.0,6.0,1.0183501544346312
42,あなたは預貯金をいくらくらいしていますか？,6.535714285714286,7.0,0.9993384054849732
43,あなたの現在の性生活についての悩みは何ですか？,6.566666666666666,7.0,0.8172001541568767
44,昨日は何時に寝ましたか？,2.142857142857143,2.0,1.145499590645633
45,朝ご飯は何を食べましたか？,1.4666666666666666,1.0,0.7302967433402215
46,今どこにいますか？,2.3,2.0,1.7449434335263985
47,今何をしていますか？,2.3666666666666667,2.0,1.3514572807192964
48,明日は何をする予定ですか？,2.7333333333333334,3.0,1.0806553992619585
49,もし食べるとしたら「カレー味のうんこ」と「うんこ味のカレー」のどちらですか？,3.1923076923076925,3.0,1.6497085989769409
50,「自分の命日」と「自分の死に方」で知りたくないのはどちらですか？,4.068965517241379,4.0,1.5336938249756609
51,選ぶとしたら「一生死ねない人生」と「24時間以内に死ぬ人生」のどちらですか？,3.896551724137931,4.0,1.3186797397994843
52,恋人を選ぶときに妥協するなら「時間にルーズな点」と「お金にルーズな点」のどちらですか？,3.6,3.0,1.3287276776598396
53,恋人を選ぶときに重要なのは「容姿」と「性格」のどちらですか？,4.066666666666666,4.0,1.0806553992619587
54,「未来が読める能力」と「人の心が読める能力」のどちらが欲しいですか？,3.0,3.0,1.364576478442026
55,死ぬまで目覚めない幸せな夢を見られるとしたら見たいですか？,3.7,4.0,1.441981395451268
56,働くときに重視するのは「給料」と「やりがい」のどちらですか？,3.7,4.0,1.3933338832974769
57,生まれ変わるとしたら「嫌われ者の大金持ち」と「みんなに好かれる貧乏人」のどちらですか？,3.7142857142857144,4.0,1.301200097264711
58,「一年中真夏」と「一年中真冬」のどちらがいいですか？,2.142857142857143,2.0,0.931517508007696
59,夜一人で行かないといけないとしたら「墓地」と「廃病院」のどちらを選びますか？,3.0344827586206895,3.0,1.4263529572376852
60,あなたは犬派ですか，それとも猫派ですか？,1.75,2.0,0.6454972243679028
